mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,LVR,0,0,0
3,LVR,0,0,0
4,ROR,0,0,0
5,ROR,0,0,0
6,ROR,0,0,0
7,ROR,0,0,0
8,ROR,0,0,0
9,ROR,0,0,0
10,COR,0,0,0
11,COR,0,0,0
12,COR,0,0,0
13,COR,0,0,0
14,EVR,0,0,0
15,LVR,0,0,0
16,LVR,0,0,0
17,AOR,0,0,0
18,AOR,0,0,0
19,AOR,0,0,0
20,AOR,0,0,0
21,STD,0,0,0
22,LVR,0,0,0
