mutant_id,mutation,failing_test
1,STD,6
2,LVR,0
3,LVR,0
4,STD,0
5,LVR,0
6,LVR,0
7,ROR,0
8,ROR,0
9,ROR,0
10,LVR,0
11,LVR,4
12,AOR,16
13,AOR,0
14,AOR,4
15,AOR,0
16,ROR,9
17,ROR,4
18,ROR,0
19,LVR,4
20,LVR,9
21,LVR,25
22,LVR,22
23,AOR,25
24,AOR,13
25,AOR,0
26,AOR,9
27,STD,0
28,LVR,4
29,LVR,
30,STD,4
31,COR,0
32,COR,0
33,STD,0
34,EVR,16
35,LVR,0
36,EVR,0
37,COR,0
38,COR,0
39,STD,10
40,COR,0
41,COR,0
42,STD,6
43,COR,0
44,COR,17
45,STD,8
46,EVR,0
47,STD,19
48,EVR,0
