mutant_id,mutation,failing_test
1,STD,0
2,STD,60
3,STD,39
4,STD,0
5,ROR,25
6,EVR,0
7,STD,25
8,EVR,22
9,ROR,25
10,ROR,25
11,ROR,0
12,COR,0
13,COR,74
14,COR,25
15,COR,0
16,COR,61
17,COR,132
18,COR,74
19,COR,0
20,STD,56
21,STD,214
22,STD,7
23,LVR,
24,ROR,25
25,STD,56
26,STD,25
27,STD,25
28,ROR,25
29,ROR,154
30,ROR,98
31,ROR,7
32,STD,45
33,STD,3
34,ROR,3
35,STD,39
