method,count
getTurn,3
subAndCheck,5
compare,3
toBoolean,5
addChild,2
insertRight,2
remove,2
maxExtent,21
floor,9
mod,3
insert_r,1
insert_s,1
count,13
extend,14
remove,13
clamp,4
copySignInt,6
add,15
getMax,17
remove,20
findmin,5
a1,8
sm,8
dequeue,11
dequeueAll,10
enqueue,10
getFront,13
makeEmpty,11
count,15
extend,14
item,16
remove,15
wipeOut,15
abs,1
addElementToSet,2
getMin,3
incrementNumberAtIndex,2
makeEmpty,8
pop,8
push,11
top,7
topAndPop,10
foo,4
setX,4
