mutant_id,mutation,failing_test,assertions_failures,non_assertions_failures
1,ROR,0,0,0
2,ROR,484,484,0
3,ROR,480,480,0
4,EVR,496,496,0
5,EVR,466,466,0
6,LVR,0,0,0
7,EVR,536,536,0
